provider_player_id,provider_player_name,reep_id,reep_name,date_of_birth,key_sofascore,key_api_football,local_player_id,local_player_name,status,confidence,source_url,last_verified_at
252473,Samuel Gustafson,reep_p95da81cf,Samuel Gustafson,1995-01-11,319309,30931,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
26373,Samuel Souprayen,reep_pd29f45e3,Samuel Souprayen,1989-02-18,,20855,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
8291,Sandro  Ranieri Guimarães Cordeiro,reep_p6143e3c3,Sandro Raniere,1989-03-15,,30813,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
26336,Santiago Juan Gentiletti Selak,reep_pd1784180,Santiago Gentiletti,1985-01-09,128204,,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
20690,Saphir Sliti Taïder,reep_p12c7b59d,Saphir Taïder,1992-02-29,113370,,3322,Saphir Taïder,unique_name_match,reviewed_exact_name,https://github.com/withqwerty/reep,2026-08-13
170738,Sauli Väisänen,reep_pdcdb2c28,Sauli Väisänen,1994-06-05,579042,30987,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
116170,Sebastián Carlos Cristóforo Pepe,reep_pe402e332,Sebastián Cristóforo,1993-08-23,221738,47260,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
20707,Sebastien De Maio,,,,,,,,reep_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
134508,Seko Fofana,reep_pab6466ca,Seko Fofana,1995-05-07,191188,30807,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
20561,Senad Lulić,reep_p1311d6e9,Senad Lulić,1986-01-18,23213,,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
402898,Senna Miangue,reep_p11760f2b,Senna Miangué,1997-02-05,,2104,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
265865,Sergej Milinković-Savić,reep_p44662aaf,Sergej Milinković-Savić,1995-02-27,331447,1856,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
20503,Sergio Floccari,reep_pc7433c2d,Sergio Floccari,1981-11-12,,,3309,Sergio Floccari,unique_name_match,reviewed_exact_name,https://github.com/withqwerty/reep,2026-08-13
20662,Sergio Pellissier,reep_pfbeae87d,Sergio Pellissier,1979-04-12,1990,,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
403546,Seung-Woo Lee,reep_p6fbcad88,Lee Seung-woo,1998-01-06,822536,2914,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
50069,Silvan Widmer,reep_p2f618095,Silvan Widmer,1993-03-05,157377,48378,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
72397,Simeon Tochukwu Nwankwo,reep_ped05a7b1,Simy,1992-05-07,170499,31003,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
21228,Simon Laner,reep_p8f9bbea3,Simon Laner,1984-01-28,44109,,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
20403,Simone Calvano,reep_p67e3e30c,Simone Calvano,1993-07-11,98073,31427,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
354552,Simone Edera,reep_pe4fe7863,Simone Edera,1997-01-09,769783,30479,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
22163,Simone Missiroli,reep_p4e6179af,Simone Missiroli,1986-05-23,5465,30867,73,Simone Missiroli,unique_name_match,reviewed_exact_name,https://github.com/withqwerty/reep,2026-08-13
20472,Simone Padoin,reep_p880f98b4,Simone Padoin,1984-03-18,27811,,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
364640,Simone Palombi,reep_pda2f929c,Simone Palombi,1996-04-23,788028,31744,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
364641,Simone Pontisso,reep_p2d64fdc6,Simone Pontisso,1997-03-20,787830,31585,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
21373,Simone Romagnoli,reep_pd075fcc8,Simone Romagnoli,1990-02-09,111487,31136,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
239288,Simone Scuffet,reep_p37f5db9f,Simone Scuffet,1996-05-31,284349,50054,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
21123,Simone Verdi,reep_p2d0779c8,Simone Verdi,1992-07-12,,334,241,Simone Verdi,unique_name_match,reviewed_exact_name,https://github.com/withqwerty/reep,2026-08-13
564512,Siriki Sanogo,reep_p0d6891eb,Siriki Sanogo,2001-12-21,930851,30639,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
20550,Ştefan Daniel Radu,reep_pa313e8ea,Ștefan Radu,1986-10-22,13592,,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
130,Stefan de Vrij,reep_p5257411c,Stefan de Vrij,1992-02-05,91046,194,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
137048,Stefan Simič,reep_pa3f377a7,Stefan Simič,1995-01-20,,31077,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
246063,Stefano Sensi,reep_p7bc56ac6,Stefano Sensi,1995-08-05,294313,30535,3337,Stefano Sensi,unique_name_match,reviewed_exact_name,https://github.com/withqwerty/reep,2026-08-13
20633,Stefano Sorrentino,reep_p4908b8dc,Stefano Sorrentino,1979-03-28,13099,,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
21290,Stefano Sturaro,reep_pd0fd628d,Stefano Sturaro,1993-03-09,,30786,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
20418,Stephan El Shaarawy,reep_p7a55f87f,Stephan El Shaarawy,1992-10-27,45925,791,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
20465,Stephan Lichtsteiner,reep_pd3bd7cfa,Stephan Lichtsteiner,1984-01-16,4392,,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
349102,Stephane Omeonga,reep_p86fd4a69,Stéphane Oméonga,1996-03-27,793985,44849,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
234533,Stipe Perica,reep_p592ed115,Stipe Perica,1995-07-07,284845,50075,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
347593,Svante Ingelsson,reep_pd617f3f5,Svante Ingelsson,1998-06-14,801483,30809,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
99661,Thiago Rangel Cionek,reep_p2662f149,Thiago Cionek,1986-04-21,44932,3005,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
25878,Thomas Heurtaux,reep_p4f03e4a5,Thomas Heurtaux,1988-07-03,74769,,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
166534,Thomas Strakosha,reep_p58092b97,Thomas Strakosha,1995-03-19,,1835,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
221047,Timo Letschert,reep_pa3903906,Timo Letschert,1993-05-25,317691,37172,3339,Timo Letschert,unique_name_match,reviewed_exact_name,https://github.com/withqwerty/reep,2026-08-13
